No.,Time,PM2.5 [ug/m3] - _zone_1,PM2.5 [ug/m3] - _zone_2,PM2.5 [ug/m3] - _zone_3,PM2.5 [ug/m3] - _zone_4,PM2.5 [ug/m3] - _zone_5,PM2.5 [ug/m3] - _zone_6,PM2.5 [ug/m3] - _zone_7
1,1/1 00:00:00 Sun,0,0,0,0,0,0,0
2,1/1 01:00:00 Sun,9.57792186737061,9.98493385314941,9.77023506164551,9.98293018341064,9.02446746826172,9.98435401916504,9.97748279571533
3,1/1 02:00:00 Sun,5.37240219116211,5.0128173828125,5.15904140472412,5.01450681686401,5.8031120300293,5.0133318901062,5.01880550384521
4,1/1 03:00:00 Sun,8.69757080078125,8.98976707458496,8.87345695495605,8.98841762542725,8.34359645843506,8.98935031890869,8.98496150970459
5,1/1 04:00:00 Sun,6.22685098648071,6.00767612457275,6.09412622451782,6.00868701934814,6.49112462997437,6.00798654556274,6.0112042427063
6,1/1 05:00:00 Sun,6.0000171661377,6,6.0002703666687,6,6.00347900390625,5.99999952316284,5.99998617172241
7,1/1 06:00:00 Sun,8.63069248199463,8.98820972442627,8.91416072845459,8.98671340942383,8.30716133117676,8.98766422271729,8.98526573181152
8,1/1 07:00:00 Sun,7.2472128868103,7.00743436813354,7.05873823165894,7.00838422775269,7.45297431945801,7.00777006149292,7.00952768325806
9,1/1 08:00:00 Sun,8.77939605712891,8.9931468963623,8.94239711761475,8.99226856231689,8.59172534942627,8.99284267425537,8.99090480804443
10,1/1 09:00:00 Sun,13.5253429412842,13.9849863052368,13.8505554199219,13.9830408096313,13.0587139129639,13.9843454360962,13.979079246521
11,1/1 10:00:00 Sun,9.64060306549072,9.02035331726074,9.13087463378906,9.02292442321777,10.0877351760864,9.02132225036621,9.02508449554443
12,1/1 11:00:00 Sun,10.7367143630981,10.9918584823608,10.9496459960938,10.9908256530762,10.579719543457,10.9914274215698,10.9899139404297
13,1/1 12:00:00 Sun,8.40166854858398,8.01223087310791,8.07644653320313,8.01378345489502,8.66086292266846,8.0128116607666,8.01514530181885
14,1/1 13:00:00 Sun,8.78892612457275,8.9931116104126,8.98020076751709,8.99226093292236,8.75405502319336,8.99310493469238,8.99356937408447
15,1/1 14:00:00 Sun,8.99683475494385,8.9999828338623,9,8.99998092651367,8.99062061309814,8.99990558624268,8.9997730255127
16,1/1 15:00:00 Sun,5.62904453277588,5.02165985107422,5.05552673339844,5.02445125579834,6.02905225753784,5.02796745300293,5.04542636871338
17,1/1 16:00:00 Sun,8.17313766479492,8.9709005355835,8.94277286529541,8.96725559234619,7.85263299942017,8.96740627288818,8.95460414886475
18,1/1 17:00:00 Sun,7.53510761260986,7.01756906509399,7.02930307388306,7.01974630355835,7.60086011886597,7.01911211013794,7.02072286605835
19,1/1 18:00:00 Sun,7.7583212852478,7.99175024032593,7.98535251617432,7.99072408676147,7.71262407302856,7.99091196060181,7.98885154724121
20,1/1 19:00:00 Sun,7.99667119979858,7.99998235702515,8,7.99997997283936,7.98183107376099,7.99991226196289,7.99972057342529
21,1/1 20:00:00 Sun,12.2900276184082,12.9763040542603,12.9290351867676,12.9731855392456,11.6750545501709,12.9620180130005,12.9357938766479
22,1/1 21:00:00 Sun,11.2828645706177,11.0097808837891,11.0288305282593,11.0110607147217,11.4882183074951,11.0152759552002,11.0250272750854
23,1/1 22:00:00 Sun,13.6421489715576,13.9875335693359,13.9574356079102,13.9858646392822,13.2952613830566,13.9790744781494,13.9623346328735
24,1/1 23:00:00 Sun,14.9075622558594,14.9966478347778,14.9863176345825,14.9961853027344,14.7812566757202,14.9936895370483,14.9876070022583
25,1/1 24:00:00 Sun,11.4795541763306,11.017258644104,11.0583095550537,11.0195741653442,11.9648809432983,11.0289430618286,11.0513925552368
26,1/2 00:00:00 Mon,11.4795541763306,11.017258644104,11.0583095550537,11.0195741653442,11.9648809432983,11.0289430618286,11.0513925552368
27,1/2 01:00:00 Mon,12.6884632110596,12.9891700744629,12.9697780609131,12.9877643585205,12.4643278121948,12.9835548400879,12.973934173584
28,1/2 02:00:00 Mon,9.58712005615234,9.01986789703369,9.05997562408447,9.02249431610107,10.1067991256714,9.0321741104126,9.05416774749756
29,1/2 03:00:00 Mon,13.2753458023071,13.9752101898193,13.9243879318237,13.9719305038452,12.6452150344849,13.9599962234497,13.9325857162476
30,1/2 04:00:00 Mon,14.9073657989502,14.9964971542358,14.9858503341675,14.9958934783936,14.7539672851563,14.9933633804321,14.986629486084
31,1/2 05:00:00 Mon,18.5708789825439,18.9844017028809,18.9406070709229,18.9822635650635,18.0716724395752,18.9723567962646,18.9478721618652
32,1/2 06:00:00 Mon,15.4363231658936,15.0156221389771,15.0585889816284,15.0177602767944,15.9197759628296,15.027569770813,15.0518045425415
33,1/2 07:00:00 Mon,15.9152927398682,15.9965229034424,15.9859762191772,15.9959688186646,15.8202199935913,15.9941692352295,15.9886150360107
34,1/2 08:00:00 Mon,15.1004095077515,15.0037002563477,15.0146903991699,15.0042381286621,15.2184982299805,15.0066375732422,15.0127153396606
35,1/2 09:00:00 Mon,14.116810798645,14.0041809082031,14.0155000686646,14.004753112793,14.2551221847534,14.0074100494385,14.0138111114502
36,1/2 10:00:00 Mon,12.2137823104858,12.0077047348022,12.0308685302734,12.0090980529785,12.4802236557007,12.014084815979,12.0271921157837
37,1/2 11:00:00 Mon,8.4757661819458,8.01732540130615,8.06527423858643,8.0196647644043,9.00693988800049,8.02996158599854,8.05554485321045
38,1/2 12:00:00 Mon,8.00132083892822,8.00000667572021,8,8.00000762939453,8.04703140258789,8.00029563903809,8.00077342987061
39,1/2 13:00:00 Mon,4.49107074737549,4.01661252975464,4.07140493392944,4.01891803741455,5.03174638748169,4.02994680404663,4.05932807922363
40,1/2 14:00:00 Mon,2.39028644561768,2.01346564292908,2.03951191902161,2.01521420478821,2.72311019897461,2.0200023651123,2.03242611885071
41,1/2 15:00:00 Mon,5.61030006408691,5.98318481445313,5.92549800872803,5.98059415817261,5.17795848846436,5.97312641143799,5.94734477996826
42,1/2 16:00:00 Mon,5.13469696044922,5.00502252578735,5.020667552948,5.0058159828186,5.25892734527588,5.00828552246094,5.01588106155396
43,1/2 17:00:00 Mon,5.00026893615723,5.00000143051147,5.00000047683716,5.00000190734863,5.01406335830688,5.00010919570923,5.00027084350586
44,1/2 18:00:00 Mon,6.51173210144043,6.98370504379272,6.95845699310303,6.9816198348999,6.21247291564941,6.97770547866821,6.96663856506348
45,1/2 19:00:00 Mon,7.74666738510132,7.9923415184021,7.97842073440552,7.99134731292725,7.48682498931885,7.9876651763916,7.97996139526367
46,1/2 20:00:00 Mon,7.01362991333008,5.0366063117981,5.0692777633667,5.04128360748291,6.48051500320435,5.03657865524292,5.03288173675537
47,1/2 21:00:00 Mon,4.99856948852539,4.01117372512817,4.0202784538269,4.01269006729126,4.83023071289063,4.02196884155273,4.03854703903198
48,1/2 22:00:00 Mon,4.66944789886475,4.98755073547363,4.97915983200073,4.98601531982422,4.6594295501709,4.98691129684448,4.98705244064331
49,1/2 23:00:00 Mon,7.80729055404663,8.96524143218994,8.92025756835938,8.96080684661865,7.15424108505249,8.95269298553467,8.92922592163086
50,1/2 24:00:00 Mon,9.79957103729248,9.99418449401855,9.98061752319336,9.99340915679932,9.46915626525879,9.98881816864014,9.97910690307617
51,1/3 00:00:00 Tue,9.79957103729248,9.99418449401855,9.98061752319336,9.99340915679932,9.46915626525879,9.98881816864014,9.97910690307617
52,1/3 01:00:00 Tue,9.134840965271,9.00486183166504,9.02002048492432,9.00560760498047,9.26951217651367,9.00825214385986,9.01608657836914
53,1/3 02:00:00 Tue,9.00029850006104,9.00000095367432,9,9.00000476837158,9.01619529724121,9.00014781951904,9.0003662109375
54,1/3 03:00:00 Tue,10.7376804351807,10.9903011322021,10.9592885971069,10.9888334274292,10.431001663208,10.9833498001099,10.9671764373779
55,1/3 04:00:00 Tue,8.34237861633301,8.01307201385498,8.05534267425537,8.01504707336426,8.73294830322266,8.02223491668701,8.04395961761475
56,1/3 05:00:00 Tue,3.64153218269348,3.02233457565308,3.09321737289429,3.02541756629944,4.41647243499756,3.040611743927,3.07875800132751
57,1/3 06:00:00 Tue,7.3493447303772,7.97761726379395,7.90715169906616,7.97454261779785,6.64085721969604,7.95983409881592,7.92248487472534
58,1/3 07:00:00 Tue,7.99963808059692,7.99991607666016,8,7.99989604949951,7.96369123458862,7.99961280822754,7.99904298782349
59,1/3 08:00:00 Tue,3.65627765655518,3.02391862869263,3.09914088249207,3.02766346931458,4.40315294265747,3.04143619537354,3.08070373535156
60,1/3 09:00:00 Tue,2.21959209442139,2.00747537612915,2.02230930328369,2.00844526290894,2.50237989425659,2.0120632648468,2.01982140541077
61,1/3 10:00:00 Tue,1.18675339221954,1.00594675540924,1.02061831951141,1.00673973560333,1.39451825618744,1.01000690460205,1.01822364330292
62,1/3 11:00:00 Tue,1.82613456249237,1.99430084228516,1.97879016399384,1.99353408813477,1.68915724754333,1.9905412197113,1.98278820514679
63,1/3 12:00:00 Tue,3.68064641952515,3.98948240280151,3.95774745941162,3.98804903030396,3.34547519683838,3.98182678222656,3.96511292457581
64,1/3 13:00:00 Tue,3.15821695327759,3.00526404380798,3.02182674407959,3.00598430633545,3.27687239646912,3.00873613357544,3.01663446426392
65,1/3 14:00:00 Tue,3.81767082214355,3.99400806427002,3.97493696212769,3.99319052696228,3.66815280914307,3.9900279045105,3.98102259635925
66,1/3 15:00:00 Tue,6.59320163726807,6.98483324050903,6.92871427536011,6.98254823684692,6.12036895751953,6.97431135177612,6.94891881942749
67,1/3 16:00:00 Tue,6.11385822296143,6.00491094589233,6.02708673477173,6.00567197799683,6.21083211898804,6.0074896812439,6.01451778411865
68,1/3 17:00:00 Tue,6.00039911270142,6.00000476837158,5.9999942779541,6.00001001358032,6.01250028610229,6.00009250640869,6.0002326965332
69,1/3 18:00:00 Tue,7.60602521896362,7.98543167114258,7.9228663444519,7.98314189910889,7.25032329559326,7.97727394104004,7.95535755157471
70,1/3 19:00:00 Tue,7.15045499801636,7.00585222244263,7.02778959274292,7.00674104690552,7.26327848434448,7.00898027420044,7.01739692687988
71,1/3 20:00:00 Tue,7.00128269195557,7.00000619888306,7,7.00000715255737,7.0276894569397,7.00022077560425,7.00052165985107
72,1/3 21:00:00 Tue,11.0601253509521,11.9695014953613,11.8773059844971,11.9653625488281,10.0644779205322,11.9462280273438,11.8988084793091
73,1/3 22:00:00 Tue,10.6500272750854,7.08006954193115,7.15000915527344,7.09020948410034,9.5128059387207,7.08008575439453,7.07209634780884
74,1/3 23:00:00 Tue,11.0565452575684,11.9630155563354,11.8726081848145,11.9581069946289,10.1319255828857,11.9432983398438,11.9057102203369
75,1/3 24:00:00 Tue,7.7494592666626,7.02900457382202,7.13009166717529,7.03338003158569,8.45194244384766,7.04576349258423,7.08933305740356
76,1/4 00:00:00 Wed,7.7494592666626,7.02900457382202,7.13009166717529,7.03338003158569,8.45194244384766,7.04576349258423,7.08933305740356
77,1/4 01:00:00 Wed,6.54897880554199,4.04014015197754,4.07528638839722,4.04531478881836,6.25712919235229,4.04016304016113,4.03615379333496
78,1/4 02:00:00 Wed,5.92347431182861,3.01472210884094,3.02836012840271,3.01676177978516,4.27070093154907,3.01470041275024,3.01318073272705
79,1/4 03:00:00 Wed,6.63109111785889,7.94633817672729,7.85953998565674,7.93983030319214,5.83381652832031,7.94640064239502,7.95046472549438
80,1/4 04:00:00 Wed,6.36395072937012,4.05165672302246,4.09730291366577,4.05820608139038,5.63737106323242,4.05162906646729,4.04644155502319
81,1/4 05:00:00 Wed,4.60823965072632,4.00301265716553,3.99999284744263,4.00342226028442,4.41418647766113,4.00878143310547,4.01709508895874
82,1/4 06:00:00 Wed,6.05599021911621,8.93020534515381,8.88166904449463,8.92150592803955,6.16061735153198,8.92829704284668,8.93236923217773
83,1/4 07:00:00 Wed,6.64496946334839,6.04039716720581,6.07293128967285,6.04538440704346,6.78636026382446,6.04070520401001,6.03714609146118
84,1/4 08:00:00 Wed,6.1627516746521,4.02760791778564,4.05208349227905,4.03117990493774,5.41806507110596,4.02760028839111,4.02481889724731
85,1/4 09:00:00 Wed,6.30239725112915,8.93663883209229,8.88080310821533,8.92859935760498,6.62836313247681,8.93665218353271,8.94302082061768
86,1/4 10:00:00 Wed,8.24386596679688,11.9345531463623,11.8942556381226,11.9263572692871,9.15596199035645,11.9241790771484,11.8929443359375
87,1/4 11:00:00 Wed,8.30597400665283,1.22444820404053,1.4211790561676,1.25280094146729,7.46225786209106,1.22444343566895,1.20197749137878
88,1/4 12:00:00 Wed,3.58353328704834,2.00630927085876,1.94160783290863,2.00702452659607,4.33772802352905,2.02851796150208,2.07260131835938
89,1/4 13:00:00 Wed,1.22396183013916,1.00927031040192,1.03645181655884,1.01058125495911,1.68556761741638,1.01537930965424,1.03106224536896
90,1/4 14:00:00 Wed,0.161232739686966,0.0061386632733047,0.0409061945974827,0.00709426868706942,0.33721336722374,0.0100166350603104,0.0199554096907377
91,1/4 15:00:00 Wed,2.55957198143005,2.98357653617859,2.86510157585144,2.98087906837463,2.20702934265137,2.97348570823669,2.94723057746887
92,1/4 16:00:00 Wed,2.15555000305176,2.00588226318359,2.04926705360413,2.00684237480164,2.25828814506531,2.00914907455444,2.01802635192871
93,1/4 17:00:00 Wed,0.343467056751251,0.0121555924415588,0.0776496678590775,0.0140483872964978,0.648617923259735,0.0200396850705147,0.0396063439548016
94,1/4 18:00:00 Wed,1.08196747303009,1.95964634418488,1.92633903026581,1.95470941066742,0.991446137428284,1.95761096477509,1.9579336643219
95,1/4 19:00:00 Wed,2.8404586315155,2.99558329582214,2.9242091178894,2.99500155448914,2.58229947090149,2.99540758132935,2.99333143234253
96,1/4 20:00:00 Wed,2.99915528297424,3,2.99798154830933,3,2.9679319858551,3,3
97,1/4 21:00:00 Wed,3.84953927993774,3.99558901786804,3.94199013710022,3.99501037597656,3.68025875091553,3.99541044235229,3.99347162246704
98,1/4 22:00:00 Wed,1.4125394821167,1.01229608058929,1.14835727214813,1.01390504837036,1.87156045436859,1.01279473304749,1.0178736448288
99,1/4 23:00:00 Wed,1.84088408946991,1.99523055553436,1.95576429367065,1.99461388587952,1.73602080345154,1.99503123760223,1.993372797966
100,1/4 24:00:00 Wed,0.239214822649956,0.00720458664000034,0.0979243814945221,0.00815402343869209,0.525795578956604,0.00749163189902902,0.0106842834502459
101,1/5 00:00:00 Thu,0.239214822649956,0.00720458664000034,0.0979243814945221,0.00815402343869209,0.525795578956604,0.00749163189902902,0.0106842834502459
102,1/5 01:00:00 Thu,0.000364844250725582,2.76784326483046E-19,0.00154958292841911,3.09696917648221E-18,0.0203949250280857,4.43012293484412E-19,3.24500009541572E-17
103,1/5 02:00:00 Thu,1.74838697910309,1.99228954315186,1.90433311462402,1.99127972126007,1.46357083320618,1.99197566509247,1.98875081539154
104,1/5 03:00:00 Thu,0.403096675872803,0.0122442441061139,0.0818262547254562,0.0137896286323667,0.683783948421478,0.0128086442127824,0.015071377158165
105,1/5 04:00:00 Thu,2.56628489494324,2.98765587806702,2.8583652973175,2.98604369163513,2.12817740440369,2.987149477005,2.98229312896729
106,1/5 05:00:00 Thu,2.99358105659485,3,2.99849081039429,3,2.90633034706116,3,3
107,1/5 06:00:00 Thu,2.99912905693054,2.99999499320984,2.99999213218689,2.99999403953552,2.97370624542236,2.999844789505,2.99957895278931
108,1/5 07:00:00 Thu,2.09251070022583,2.00398731231689,2.01970338821411,2.0045919418335,2.202800989151,2.00650954246521,2.01287889480591
